         8	    0.000002015
        16	    0.000001878
        32	    0.000001884
        64	    0.000001950
       128	    0.000002524
       256	    0.000002576
       512	    0.000002535
      1024	    0.000002630
      2048	    0.000002787
      4096	    0.000002932
      8192	    0.000003362
     16384	    0.000003745
     32768	    0.000006700
     65536	    0.000007671
    131072	    0.000010330
    262144	    0.000015957
    524288	    0.000027224
   1048576	    0.000048383
   2097152	    0.000096294
   4194304	    0.000182613
   8388608	    0.000365584
  16777216	    0.000706189
  33554432	    0.001408795
  67108864	    0.002832746
 134217728	    0.005651169
 268435456	    0.011551255
 536870912	    0.022657506
1073741824	    0.045468481
